Date,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ.CLOSE,ADJ.HIGH
08/19/2024,100.01,104.06,95.96,100.335,44659000,50.32284,52.19111
08/20/2024,101.01,109.08,100.5,108.31,22834300,54.32269,54.70888
08/23/2024,110.76,113.48,109.05,109.05,18256100,54.86938,56.91569
08/24/2024,111.24,111.6,103.57,104.87,15247300,52.59736,55.97278
08/25/2024,104.76,108,103.88,106,9188600,53.16411,54.16721
08/26/2024,104.95,107.95,104.66,107.91,7094800,54.12207,54.14213
08/27/2024,108.1,108.62,105.69,106.51,6211700,53.23934,54.47817
08/30/2024,105.28,105.49,102.01,102.01,5196700,51.16294,52.90832
08/31/2024,102.32,103.71,102.16,103.37,4914800,51.34349,52.01557
01/09/2023,102.7,102.97,99.67,100.25,9138200,50.28021,51.64442
02/09/2024,99.09,102.37,98.94,101.51,151186000,50.91216,51.34349
